gene_id,is_de,timing_group,effect_stratum,effect_type,true_tau,true_kappa,true_delta1,true_delta2,target_abs_mean_posttau_log2fc,true_abs_mean_posttau_log2fc,true_r
gene_0021,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,20.88117293049386
gene_0022,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,32.673496956868945
gene_0023,True,early,strong,symmetric,0.35240723673571456,28.0,-0.9304487167073155,0.8773625339432506,2.408520183235029,2.408520183235029,24.316850927128463
gene_0024,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,35.58854203858201
gene_0025,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,32.66225231527283
gene_0026,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,29.36669244900325
gene_0027,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,33.979766243658545
gene_0028,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,33.941845936009656
gene_0029,True,early,weak,symmetric,0.2682010579909422,28.0,0.348022347086705,-0.32200564448139113,0.9011625210550028,0.9011625210550027,36.86993715867104
gene_0030,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,35.44725421833088
gene_0031,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,36.384201139930774
gene_0032,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,23.60202728139918
gene_0033,True,early,moderate,branch1_only,0.32941858252478373,16.0,1.0415363011335217,0.0,1.3084088540745185,1.3084088540745185,24.821177831963674
gene_0034,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,36.0802309806468
gene_0035,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,39.6039472013669
gene_0036,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,22.89191769574266
gene_0037,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,28.272236635665706
gene_0038,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,33.36310960328324
gene_0039,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,39.66439060335941
gene_0040,True,early,weak,symmetric,0.39699939359555403,12.0,-0.22839116497067072,0.2627424248419369,0.5729281258790051,0.5729281258790051,22.22520489331266
gene_0041,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,33.66854108442724
gene_0042,True,middle,strong,branch2_only,0.44684745808691867,20.0,0.0,1.7330473752411824,2.1868446456839465,2.1868446456839465,26.16618155364418
gene_0043,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,36.3033609338044
gene_0044,True,late,weak,branch1_only,0.7888300906455019,16.0,0.5707048136132796,0.0,0.5018577002716985,0.5018577002716985,30.603234317698092
gene_0045,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,37.81454053463712
gene_0046,True,middle,moderate,symmetric,0.4268513226406694,24.0,0.6451824033255911,-0.6315336982682027,1.6561755562826774,1.6561755562826772,29.773710165693867
gene_0047,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,20.781151659172668
gene_0048,True,middle,moderate,symmetric,0.4920993803115507,24.0,-0.7984468424660031,0.6964179899826876,1.9112555166906153,1.9112555166906153,39.35333826726527
gene_0049,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,37.52258472565755
gene_0050,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,38.40996453642171
gene_0051,True,early,strong,symmetric,0.3479458707475492,24.0,-0.968099921568155,1.118453838283433,2.743396330607746,2.743396330607746,26.326570187373438
gene_0052,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,22.28173693493043
gene_0053,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,31.150402638516272
gene_0054,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,32.66330481664738
gene_0055,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,21.261629469039516
gene_0056,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,36.02296154296883
gene_0057,True,middle,weak,symmetric,0.5066922382406156,28.0,-0.2972666442950113,0.24874546597765643,0.7086229090068183,0.7086229090068183,25.261759849385474
gene_0058,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,28.663652930843966
gene_0059,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,33.532394250648224
gene_0060,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,36.402588158583995
gene_0061,True,late,moderate,symmetric,0.7896357774336376,16.0,-0.9229158284260082,0.845074684704705,1.5515424949781376,1.5515424949781376,32.77959377087907
gene_0062,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,22.344235587363134
gene_0063,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,25.287337714069118
gene_0064,True,early,strong,symmetric,0.3414810637258182,24.0,0.9450777067263373,-0.8167200245692189,2.3186165659205735,2.3186165659205735,25.39873610663514
gene_0065,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,39.6265356551212
gene_0066,True,middle,moderate,symmetric,0.476064377385378,16.0,-0.6921094049256414,0.6342392623524455,1.5971140722154678,1.5971140722154678,30.3405174573151
gene_0067,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,20.63696435610516
gene_0068,True,early,moderate,branch2_only,0.33256303055825787,12.0,0.0,0.946065447278646,1.128707385376205,1.128707385376205,26.94540207290688
gene_0069,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,28.411849808295344
gene_0070,True,late,strong,symmetric,0.7484238135781103,24.0,1.074108855168294,-0.9136503130906101,2.2114867677704435,2.2114867677704435,33.60951216685676
gene_0071,True,middle,moderate,symmetric,0.5978964356957921,20.0,-0.7502299785395284,0.7220377883008193,1.7579893141165597,1.75798931411656,29.583425297285423
gene_0072,True,middle,moderate,symmetric,0.43492157747681515,24.0,-0.5814759917433412,0.47643752870082945,1.370146082525293,1.3701460825252927,39.52555201652025
gene_0073,True,middle,strong,symmetric,0.44487154342590646,20.0,-0.9621672371774367,1.1746916304726256,2.6977680236363044,2.6977680236363044,20.28462810504969
gene_0074,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,34.79702093017532
gene_0075,True,early,weak,branch1_only,0.2001814326615061,24.0,0.7016393045334828,0.0,0.9390649072207677,0.9390649072207677,20.340911937593656
gene_0076,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,34.04725622446115
gene_0077,True,early,weak,branch1_only,0.2858853596059679,28.0,-0.4955010909060011,0.0,0.6652342003034106,0.6652342003034106,27.260575342193476
gene_0078,True,late,strong,branch2_only,0.6269735272525676,28.0,0.0,1.6507786633797406,2.065380144508504,2.065380144508504,32.35144530788363
gene_0079,True,early,weak,symmetric,0.2832550903339915,16.0,-0.3695204151115124,0.3901232795515189,0.963401226976384,0.963401226976384,33.99837152678923
gene_0080,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,27.400609214065803
gene_0081,True,late,strong,branch1_only,0.6842519589225944,20.0,-1.918926913376082,0.0,2.1621973258809426,2.1621973258809426,33.6190892402729
gene_0082,True,early,weak,branch2_only,0.36339609082955543,28.0,0.0,0.554086084970499,0.7371467941915191,0.7371467941915192,25.93687287304973
gene_0083,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,31.912272514923036
gene_0084,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,20.6315068141531
gene_0085,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,37.186408325948946
gene_0086,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,21.945457172117223
gene_0087,True,middle,strong,symmetric,0.4787450375047432,24.0,1.0204377979030372,-1.097300022470976,2.716525169837828,2.716525169837828,39.70397027859083
gene_0088,True,middle,moderate,symmetric,0.5387826619897021,20.0,0.8434998575613605,-0.7520331957613943,1.9558870747413284,1.9558870747413282,29.636222126698527
gene_0089,True,early,moderate,branch1_only,0.3409984282426985,28.0,1.336045213188721,0.0,1.7825418531875126,1.7825418531875126,39.88200195987169
gene_0090,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,22.34004559785732
gene_0091,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,34.97447507037279
gene_0092,True,middle,moderate,symmetric,0.5000937726493657,16.0,0.6650071240181383,-0.7100257016724376,1.6400296036046829,1.6400296036046829,29.461920197556147
gene_0093,True,early,weak,symmetric,0.3150841954726842,16.0,0.3727510931500649,-0.33063515406595795,0.886356863429612,0.8863568634296121,30.022235800273478
gene_0094,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,36.71444645656089
gene_0095,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,38.75065443815761
gene_0096,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,22.202756702554204
gene_0097,True,early,moderate,symmetric,0.21685805118725188,16.0,-0.5188814247756937,0.45492496107885694,1.2493989953960856,1.2493989953960856,30.7096551372042
gene_0098,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,25.74112507026911
gene_0099,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,24.354439352073754
gene_0100,True,middle,weak,symmetric,0.558413018516424,12.0,-0.4090060115036886,0.43960886468265864,0.9062785993818521,0.9062785993818521,36.5141628245314
gene_0101,True,early,moderate,symmetric,0.25926289862776664,20.0,-0.6972575142429362,0.5730251528623297,1.661026149768319,1.6610261497683194,37.137452898202206
gene_0102,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,29.74148764274311
gene_0103,True,late,weak,symmetric,0.7793444882124856,16.0,0.4792224434852162,-0.399565687983043,0.7907129717000592,0.7907129717000592,23.67511556228678
gene_0104,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,39.80990797523464
gene_0105,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,28.324094748932342
gene_0106,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,23.691892270498162
gene_0107,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,27.449670578362593
gene_0108,True,early,strong,symmetric,0.36950241403624223,12.0,-1.0766585195105742,1.3001718023288849,2.8011056037567723,2.8011056037567723,27.76198301761344
gene_0109,True,middle,strong,symmetric,0.4191400820057596,12.0,-1.283459083882797,1.2880103763568311,2.9729020763344596,2.9729020763344596,24.5056345051377
gene_0110,True,late,weak,symmetric,0.7270252293662338,28.0,0.2545616453771825,-0.2535911480138392,0.6002106805721736,0.6002106805721735,28.160498585269295
gene_0111,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,35.97845018745752
gene_0112,True,late,weak,symmetric,0.6132960453827198,12.0,-0.37309061651848846,0.3761462924936398,0.7624596943910933,0.7624596943910933,24.261282624448587
gene_0113,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,32.139724724919134
gene_0114,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,26.400317028230944
gene_0115,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,29.852881978256274
gene_0116,True,middle,moderate,symmetric,0.48076273271255415,12.0,0.5196114586553269,-0.5645417721505119,1.2170528920140469,1.2170528920140469,39.31125121648954
gene_0117,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,36.761892389289955
gene_0118,True,early,moderate,branch2_only,0.3741602196065731,28.0,0.0,-0.9924491225594467,1.31842417744598,1.31842417744598,36.64333092025887
gene_0119,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,35.055407506293655
gene_0120,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,28.22197646580406
gene_0121,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,38.103998954482456
gene_0122,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,33.57328606077526
gene_0123,True,late,strong,symmetric,0.7097516064766239,16.0,1.4293533839405468,-1.299587334058128,2.7779256851877814,2.7779256851877814,22.435978775843406
gene_0124,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,34.36422314567524
gene_0125,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,35.43937749551276
gene_0126,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,34.48590030325256
gene_0127,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,36.94421751224539
gene_0128,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,32.42346976944559
gene_0129,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,33.58963106654601
gene_0130,True,late,weak,symmetric,0.607444961279649,20.0,0.23616550079595997,-0.27042222023659973,0.6018508659235914,0.6018508659235913,29.325484841376284
gene_0131,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,36.488981667763014
gene_0132,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,37.256440074859235
gene_0133,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,22.324880594301227
gene_0134,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,37.49999974240633
gene_0135,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,35.01370452021742
gene_0136,True,late,moderate,branch1_only,0.747192598384588,20.0,-1.2731241114542138,0.0,1.337710251707024,1.337710251707024,24.245786476702822
gene_0137,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,26.6270798422381
gene_0138,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,25.30967514112615
gene_0139,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,30.451206060011323
gene_0140,True,middle,weak,symmetric,0.41037174672188664,24.0,-0.29807273479714175,0.347708891679333,0.8403403845167225,0.8403403845167225,35.222649250833186
gene_0141,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,35.96038579264901
gene_0142,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,35.73668581891657
gene_0143,True,late,moderate,branch2_only,0.7738098430672248,12.0,0.0,2.4297034913126656,1.8806714823965134,1.8806714823965134,39.6307831499345
gene_0144,True,middle,strong,symmetric,0.5162326410615461,28.0,-1.0128837948063274,1.1405047099151266,2.7885553498991342,2.7885553498991342,22.282984645253517
gene_0145,True,early,strong,branch2_only,0.2005234991133974,28.0,0.0,-2.209790527160364,2.9903183909441964,2.9903183909441964,32.25195260959871
gene_0146,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,38.22959554020633
gene_0147,True,late,weak,symmetric,0.7245659266294185,16.0,0.3048979866180327,-0.26531920999526554,0.5683780811689065,0.5683780811689065,26.428397102139673
gene_0148,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,23.865248499880447
gene_0149,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,32.56491837720357
gene_0150,True,early,weak,symmetric,0.21337776199521782,28.0,0.2717566824052866,-0.3017268854009584,0.7752097029250491,0.7752097029250491,34.3787732461974
gene_0151,True,middle,weak,symmetric,0.5069250207456408,16.0,-0.3700053829368687,0.3968520938055107,0.9120026055299472,0.912002605529947,22.014075574923133
gene_0152,True,middle,weak,symmetric,0.5246340984664027,20.0,0.31812544865679243,-0.28794126537354914,0.7468529964564157,0.7468529964564156,29.923028245035432
gene_0153,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,24.89918882636362
gene_0154,True,middle,moderate,symmetric,0.5698877300124316,16.0,0.6889084917382235,-0.7133453117475319,1.6160432321692761,1.6160432321692761,20.210731341963065
gene_0155,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,35.861006364654955
gene_0156,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,39.36245979120771
gene_0157,True,late,strong,symmetric,0.6912899052751029,28.0,-1.073426901142489,1.108646560849118,2.6431965726094186,2.6431965726094186,26.511311202745738
gene_0158,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,28.420070517962074
gene_0159,True,middle,strong,branch2_only,0.5112848330303474,24.0,0.0,-1.585754917288743,2.017254595550994,2.017254595550994,30.385552164282892
gene_0160,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,37.158615217027446
gene_0161,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,37.923211506795994
gene_0162,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,25.536387753980605
gene_0163,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,39.434024838539
gene_0164,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,38.19694623520918
gene_0165,True,early,moderate,branch1_only,0.2650856643844625,28.0,-1.2522798659963166,0.0,1.6847869383667295,1.6847869383667298,21.33578216020849
gene_0166,True,early,moderate,branch1_only,0.3736271895384203,16.0,0.8855071934854846,0.0,1.1007604459517184,1.1007604459517184,25.43185387711306
gene_0167,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,21.586192531300195
gene_0168,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,21.825253319542476
gene_0169,True,late,moderate,symmetric,0.7553358267348297,20.0,0.6593812684369005,-0.7288504507886777,1.4414655257080975,1.4414655257080977,26.920940416995172
gene_0170,True,middle,strong,symmetric,0.5926861260138676,16.0,-0.9917742304772831,1.191959164145582,2.4816395956099795,2.4816395956099795,36.7337708405154
gene_0171,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,32.99321677725516
gene_0172,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,22.414913825489148
gene_0173,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,20.000943518229946
gene_0174,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,29.82747988402005
gene_0175,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,20.690981579194844
gene_0176,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,33.10154585203068
gene_0177,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,24.06335909375197
gene_0178,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,26.058141503266015
gene_0179,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,20.19456620501217
gene_0180,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,23.183425110944412
gene_0181,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,24.797230209675458
gene_0182,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,36.79048835844823
gene_0183,True,late,weak,symmetric,0.7132306773880277,12.0,0.5400259022323963,-0.5858605513977795,0.9996977811184531,0.9996977811184531,36.751998232965406
gene_0184,True,middle,strong,symmetric,0.41803578609480285,24.0,-1.096519948905868,0.9887384320619577,2.709618758821918,2.709618758821919,26.258262437085993
gene_0185,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,32.58825243293859
gene_0186,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,25.46713603247511
gene_0187,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,33.40528242596845
gene_0188,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,29.303175099057697
gene_0189,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,32.0367881838214
gene_0190,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,29.13957509043749
gene_0191,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,35.80487747852601
gene_0192,True,late,weak,symmetric,0.7646917515177915,28.0,-0.43959768217966405,0.38040767412300014,0.9345632229441359,0.9345632229441356,38.10070700799659
gene_0193,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,27.91145330620057
gene_0194,True,middle,strong,symmetric,0.4476426322477766,12.0,0.893936896926494,-0.9252824968326356,2.076625966909587,2.076625966909587,35.551066545902465
gene_0195,True,middle,weak,symmetric,0.467385400654536,20.0,-0.3477527479775525,0.39211099606564837,0.9284425023696277,0.9284425023696277,22.932325834878718
gene_0196,True,late,weak,symmetric,0.6578856887974592,28.0,-0.19638042584220408,0.23815090448177892,0.5361557994490266,0.5361557994490266,27.329669478651383
gene_0197,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,25.73151701420664
gene_0198,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,24.635681275926665
gene_0199,True,early,weak,branch2_only,0.2745751751163559,20.0,0.0,-0.6997751491990856,0.913035741208863,0.913035741208863,25.218589428891043
gene_0200,True,early,weak,branch1_only,0.21534110515131524,24.0,-0.6509142947023239,0.0,0.8698664011641412,0.8698664011641412,39.342713215266556
gene_0201,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,29.575936447105363
gene_0202,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,29.581090385632894
gene_0203,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,25.71054162008177
gene_0204,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,38.03847641871012
gene_0205,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,39.14297280540549
gene_0206,True,late,moderate,symmetric,0.6478430040523883,12.0,0.522196266085923,-0.6232619701810578,1.1217493608878741,1.1217493608878741,38.071767699448934
gene_0207,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,29.419791280646756
gene_0208,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,20.50437258354237
gene_0209,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,37.39552609687822
gene_0210,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,39.27443031797506
gene_0211,True,middle,strong,branch2_only,0.5878858212739553,20.0,0.0,-2.4223636925114236,2.907043529779856,2.907043529779856,23.64725795546963
gene_0212,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,34.39942471809563
gene_0213,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,25.93822373465371
gene_0214,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,33.73418838260281
gene_0215,True,late,strong,symmetric,0.6063825156271196,20.0,1.1579713481784477,-1.228783857049911,2.837214060045761,2.837214060045761,27.631756538251246
gene_0216,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,31.99436946096536
gene_0217,True,late,moderate,symmetric,0.616178874539953,24.0,-0.6572216826469902,0.752453847107908,1.7276346329343926,1.7276346329343926,34.77261514301599
gene_0218,True,early,weak,branch2_only,0.2445524097951077,16.0,0.0,-0.5010326994313761,0.6398976312666756,0.6398976312666756,36.12403868635397
gene_0219,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,30.10718536786872
gene_0220,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,31.66532152580229
gene_0221,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,29.419124275759092
gene_0222,True,middle,weak,symmetric,0.5831997594886048,24.0,0.2594479665718498,-0.30423393780804037,0.7004936142560633,0.7004936142560633,30.368614576000855
gene_0223,True,early,moderate,symmetric,0.2576802773152078,28.0,-0.43016093399724825,0.36440713214542286,1.069761992216725,1.069761992216725,32.813149235863996
gene_0224,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,38.92206732478529
gene_0225,True,middle,weak,symmetric,0.5065184642508552,28.0,-0.2658177189338617,0.24824774958571097,0.667188261569071,0.667188261569071,37.457888836397785
gene_0226,True,early,strong,symmetric,0.236486539972591,28.0,0.8587475980178627,-0.9284871672249535,2.4110000701066108,2.4110000701066108,35.36345551937033
gene_0227,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,33.494810096559426
gene_0228,True,middle,weak,branch1_only,0.5831819313147985,28.0,-0.4250091850598376,0.0,0.5402968630041407,0.5402968630041407,37.50290245316934
gene_0229,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,31.628559631913333
gene_0230,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,37.99418479196679
gene_0231,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,21.021317748688716
gene_0232,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,21.40885732967263
gene_0233,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,30.841063317291535
gene_0234,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,26.23009678703968
gene_0235,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,20.87714857674107
gene_0236,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,37.686226634275876
gene_0237,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,38.07358745544397
gene_0238,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,33.263590367099866
gene_0239,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,38.61149765469237
gene_0240,True,early,weak,branch1_only,0.3371779516277579,12.0,-0.7589132319497427,0.0,0.90411127920917,0.9041112792091699,33.49624195429275
